response_id,submitted_at,program,school,volunteer_name,volunteer_email,employer,role_this_year,q1_overall_satisfaction,q2_would_recommend,q3_felt_prepared,q4_volunteer_again,q5_what_went_well,q6_what_could_improve,q7_anything_else,opt_in_contact
JA-24232,2025-10-18T10:53,JA in a Day,Snider HS,Nate Boone,nate.boone@bluffton.com,Bluffton Steel Works,Event Volunteer,3,3,4,,Good structure.,Nothing to add,Good program.,
JA-24233,2025-12-23T14:08,JA Career Speaker Series,Northrop HS,Priya Vasquez,priya.vasquez@summit.com,Summit Financial Group,Classroom Volunteer,5,5,5,Yes,The materials were clear.,Good,Please add me to your speaker list - I can do a career day at any school.,Yes
JA-24234,2025-11-19T21:01,JA in a Day,Lakeside MS,Ibrahim Ulrich,ibrahim.ulrich@allen.com,Allen Mutual Insurance,Site Lead,4,4,5,Maybe,Loved the hands-on parts.,I never received the training link. Had to wing it.,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24235,2026-06-16T09:15,JA Finance Park,Carroll MS,Priya Sandoval,priya.sandoval@ridgeline.com,Ridgeline Manufacturing,Board/Committee Prospect,4,4,4,Maybe,The students were engaged.,Good,"If you're ever short someone last minute, I might be able to fill in.",
JA-24236,2026-03-14T17:30,JA Career Speaker Series,Memorial Park MS,Brett Devries,brett.devries@cardinal.com,Cardinal Trust Bank,Career Speaker,4,4,4,Maybe,,Nothing - it was well organized.,Nothing to add,
JA-24237,2026-03-28T13:11,JA Inspire,Memorial Park MS,Ibrahim Escobar,ibrahim.escobar@maplewood.com,Maplewood Health Partners,Event Volunteer,3,3,2,Yes,Loved the hands-on parts.,I never received the training link. Had to wing it.,None,No
JA-24238,2025-12-13T15:22,JA BizTown,Woodside MS,Tomas Whitfield,tomas.whitfield@kestrel.com,Kestrel Engineering,Site Lead,4,5,3,,Staff support was excellent.,No comment,None,
JA-24239,2025-12-12T13:03,JA Career Speaker Series,Snider HS,Marcus Yeager,marcus.yeager@allen.com,Allen Mutual Insurance,Event Volunteer,4,4,3,Yes,The materials were clear.,Good program.,Fantastic program. The kids were so engaged the entire time.,Yes
JA-24240,2026-02-20T14:42,JA in a Day,Jefferson MS,Marcus Devries,marcus.devries@foundry.com,Foundry Digital Agency,Site Lead,5,5,4,Yes,Good structure.,More time with the students.,I want to sponsor a class next year. What does that cost?,Yes
JA-24241,2026-06-04T13:33,JA Company Program,Carroll MS,Bianca Nunez,bianca.nunez@summit.com,Summit Financial Group,Career Speaker,4,5,3,Yes,The students were engaged.,Fine.,Please put me on the list for next year - same school if possible.,Yes
JA-24242,2025-10-10T19:51,JA Inspire,Lakeside MS,Greta Ellsworth,greta.ellsworth@allen.com,Allen Mutual Insurance,Career Speaker,4,4,3,,Loved the hands-on parts.,Classroom management was a struggle and I did not feel supported.,-,No
JA-24243,2025-10-21T08:09,JA Inspire,Wayne HS,Miles Boone,miles.boone@harrison.com,Harrison & Locke LLP,Site Lead,3,4,4,,The materials were clear.,Good program.,Good,Yes
JA-24244,2026-05-31T12:14,JA Inspire,Jefferson MS,Colin Kowalski,colin.kowalski@maplewood.com,Maplewood Health Partners,Event Volunteer,4,5,4,,Staff support was excellent.,I never received the training link. Had to wing it.,Fantastic program. The kids were so engaged the entire time.,Yes
JA-24245,2026-04-27T10:40,JA in a Day,Lakeside MS,Casey Brennan,casey.brennan@maplewood.com,Maplewood Health Partners,Event Volunteer,4,3,4,,The students were engaged.,,Would think about it if there were a shorter commitment option.,
JA-24246,2025-11-26T12:07,JA Inspire,Northrop HS,Mei Petrosyan,mei.petrosyan@harrison.com,Harrison & Locke LLP,Board/Committee Prospect,3,4,2,,Staff support was excellent.,Good,,
JA-24247,2026-05-24T11:33,JA Inspire,Wayne HS,Brett Kowalski,brett.kowalski@wabash.com,Wabash Valley Energy,Classroom Volunteer,3,4,5,Yes,Staff support was excellent.,Too much content for the time allotted. Felt rushed the whole time.,Excellent experience from start to finish.,Yes
JA-24248,2025-10-08T10:49,JA Company Program,Carroll MS,Casey Finnegan,casey.finnegan@harrison.com,Harrison & Locke LLP,Event Volunteer,4,4,3,Maybe,Staff support was excellent.,Good program.,None,
JA-24249,2025-10-30T11:04,JA Company Program,Woodside MS,Simone Ikeda,simone.ikeda@foundry.com,Foundry Digital Agency,Site Lead,4,3,3,,The students were engaged.,,-,Yes
JA-24250,2026-02-06T09:33,JA Company Program,Snider HS,Pierre Castellano,pierre.castellano@kestrel.com,Kestrel Engineering,Event Volunteer,5,4,4,Maybe,Staff support was excellent.,n/a,Let me know when registration opens and I'll see where things stand.,No
JA-24251,2026-02-18T09:57,JA Finance Park,Memorial Park MS,Devon Finnegan,devon.finnegan@summit.com,Summit Financial Group,Career Speaker,1,3,3,Maybe,The students were engaged.,Good program.,Too much content for the time allotted. Felt rushed the whole time.,Yes
JA-24252,2026-02-24T14:54,JA in a Day,Carroll MS,Mei Hollis,mei.hollis@northgate.com,Northgate Logistics,Classroom Volunteer,5,5,3,Yes,Staff support was excellent.,,Please add me to your speaker list - I can do a career day at any school.,Yes
JA-24253,2026-01-02T09:54,JA Company Program,Snider HS,Nate Ulrich,nate.ulrich@three.com,Three Rivers Credit Union,Event Volunteer,5,3,4,Maybe,Loved the hands-on parts.,,Maybe in the spring - fall is hard for me.,
JA-24254,2025-10-06T12:34,JA Inspire,Jefferson MS,Sasha Ulrich,sasha.ulrich@three.com,Three Rivers Credit Union,Career Speaker,4,4,2,Yes,,N/A,Really well run. Thank you for everything you do.,Yes
JA-24255,2026-06-14T18:49,JA BizTown,Lakeside MS,Mei Chandra,mei.chandra@three.com,Three Rivers Credit Union,Site Lead,5,4,2,Yes,Good structure.,,What a great day. The students asked wonderful questions.,Yes
JA-24256,2025-10-26T08:17,JA in a Day,Jefferson MS,Dana Fowler,dana.fowler@cardinal.com,Cardinal Trust Bank,Career Speaker,5,3,4,Maybe,Staff support was excellent.,Too much content for the time allotted. Felt rushed the whole time.,Nothing to add,Yes
JA-24257,2026-04-09T10:17,JA BizTown,Memorial Park MS,Colin Chandra,colin.chandra@wabash.com,Wabash Valley Energy,Site Lead,2,2,2,No,Staff support was excellent.,N/A,I was scheduled for a grade level I wasn't prepared for.,Yes
JA-24258,2025-10-25T19:52,JA in a Day,Jefferson MS,Casey Jarrett,casey.jarrett@kestrel.com,Kestrel Engineering,Event Volunteer,4,5,3,,The students were engaged.,No comment,I chair our United Way campaign and would like to discuss a larger partnership.,Yes
JA-24259,2026-06-24T20:59,JA Inspire,Snider HS,Greta Hollis,greta.hollis@kestrel.com,Kestrel Engineering,Board/Committee Prospect,5,3,3,,Loved the hands-on parts.,,The staff were amazing and the students were a joy to work with.,Yes
JA-24260,2026-05-12T18:56,JA Company Program,Blackhawk MS,Tomas Jarrett,tomas.jarrett@ridgeline.com,Ridgeline Manufacturing,Career Speaker,4,5,3,Yes,Good structure.,I never received the training link. Had to wing it.,I want to sponsor a class next year. What does that cost?,Yes
JA-24261,2026-03-19T20:39,JA Finance Park,Jefferson MS,Greta Vasquez,greta.vasquez@northgate.com,Northgate Logistics,Site Lead,1,2,1,No,The materials were clear.,N/A,The materials arrived late and I had to improvise the first hour.,Yes
JA-24262,2026-04-25T11:18,JA Career Speaker Series,Leo JR/SR HS,Devon Brennan,devon.brennan@summit.com,Summit Financial Group,Site Lead,4,5,3,,Staff support was excellent.,n/a,Would think about it if there were a shorter commitment option.,
JA-24263,2026-01-25T19:53,JA Career Speaker Series,Memorial Park MS,Grant Jarrett,grant.jarrett@summit.com,Summit Financial Group,Career Speaker,4,5,4,Maybe,Loved the hands-on parts.,,Wonderful. Thank you for the opportunity.,Yes
JA-24264,2026-03-11T16:17,JA Company Program,Jefferson MS,Aisha Kowalski,aisha.kowalski@bluffton.com,Bluffton Steel Works,Classroom Volunteer,5,4,4,Maybe,Loved the hands-on parts.,Fine.,"Possibly next year, depending on my travel schedule.",Yes
JA-24265,2025-11-21T16:15,JA Company Program,Memorial Park MS,Owen Boone,owen.boone@maplewood.com,Maplewood Health Partners,Board/Committee Prospect,3,4,3,,Staff support was excellent.,,Good program.,Yes
JA-24266,2026-05-30T15:30,JA in a Day,Snider HS,Tomas Ikeda,tomas.ikeda@kestrel.com,Kestrel Engineering,Event Volunteer,4,4,3,Maybe,Staff support was excellent.,Classroom management was a struggle and I did not feel supported.,Very impressed with the organization and the materials.,Yes
JA-24267,2025-12-25T13:58,JA BizTown,Blackhawk MS,Miles Lindqvist,miles.lindqvist@summit.com,Summit Financial Group,Board/Committee Prospect,3,5,3,Maybe,Loved the hands-on parts.,Nothing to add,"Possibly next year, depending on my travel schedule.",Yes
JA-24268,2026-06-27T07:55,JA Career Speaker Series,Shawnee MS,Mei Fowler,mei.fowler@cardinal.com,Cardinal Trust Bank,Classroom Volunteer,5,3,5,,Staff support was excellent.,No comment,Maybe in the spring - fall is hard for me.,No
JA-24269,2025-10-14T21:24,JA BizTown,Leo JR/SR HS,Marcus Reyes,marcus.reyes@cardinal.com,Cardinal Trust Bank,Board/Committee Prospect,3,5,3,Yes,Loved the hands-on parts.,I never received the training link. Had to wing it.,Really well run. Thank you for everything you do.,Yes
JA-24270,2025-11-17T13:15,JA Company Program,Northrop HS,Marcus Ulrich,marcus.ulrich@maplewood.com,Maplewood Health Partners,Board/Committee Prospect,4,4,2,Yes,The students were engaged.,Nothing to add,,
JA-24271,2026-06-01T20:05,JA BizTown,Homestead HS,Priya Nunez,priya.nunez@harrison.com,Harrison & Locke LLP,Board/Committee Prospect,5,3,4,Maybe,Staff support was excellent.,I was scheduled for a grade level I wasn't prepared for.,"Great program, great kids, great day all around.",Yes
JA-24272,2026-03-27T16:22,JA Company Program,Wayne HS,Priya Chandra,priya.chandra@three.com,Three Rivers Credit Union,Career Speaker,4,3,5,,The materials were clear.,-,Best volunteer experience I've had in years.,Yes
JA-24273,2026-04-28T21:31,JA in a Day,Blackhawk MS,Hana Hollis,hana.hollis@harrison.com,Harrison & Locke LLP,Site Lead,2,1,2,Maybe,Loved the hands-on parts.,Parking was a nightmare and no one met me at the door.,Parking was a nightmare and no one met me at the door.,Yes
JA-24274,2026-06-17T13:36,JA Company Program,Leo JR/SR HS,Simone Devries,simone.devries@bluffton.com,Bluffton Steel Works,Board/Committee Prospect,5,5,4,,The students were engaged.,None,"Count me in for next year, and I have two colleagues who want to join.",Yes
JA-24275,2026-05-23T17:09,JA Inspire,Homestead HS,Andre Marsh,andre.marsh@bluffton.com,Bluffton Steel Works,Classroom Volunteer,3,2,3,,Staff support was excellent.,No comment,I was scheduled for a grade level I wasn't prepared for.,No
JA-24276,2025-10-03T10:37,JA Inspire,Jefferson MS,Marcus Nunez,marcus.nunez@harrison.com,Harrison & Locke LLP,Event Volunteer,5,4,3,Yes,,Nothing - it was well organized.,Reach out in a few months and I might have more capacity then.,
JA-24277,2026-01-21T08:14,JA Career Speaker Series,Memorial Park MS,Priya Alvarez,priya.alvarez@wabash.com,Wabash Valley Energy,Event Volunteer,2,3,1,No,The materials were clear.,The materials arrived late and I had to improvise the first hour.,Parking was a nightmare and no one met me at the door.,Yes
JA-24278,2025-10-06T14:10,JA Inspire,Memorial Park MS,Nate Gutierrez,nate.gutierrez@three.com,Three Rivers Credit Union,Board/Committee Prospect,4,3,3,Yes,The materials were clear.,None,I had a lot of fun and I think the students got a lot out of it.,No
JA-24279,2025-09-01T17:04,JA BizTown,Blackhawk MS,Nate Chandra,nate.chandra@wabash.com,Wabash Valley Energy,Career Speaker,4,5,4,Yes,Good structure.,I was scheduled for a grade level I wasn't prepared for.,n/a,Yes
JA-24280,2026-05-28T12:19,JA Finance Park,Woodside MS,Colin Finnegan,colin.finnegan@ridgeline.com,Ridgeline Manufacturing,Board/Committee Prospect,5,3,3,Yes,Good structure.,,"Great program, great kids, great day all around.",Yes
JA-24281,2026-04-28T20:44,JA in a Day,Leo JR/SR HS,Devon Fowler,devon.fowler@summit.com,Summit Financial Group,Event Volunteer,5,3,5,,Loved the hands-on parts.,Nothing - it was well organized.,n/a,Yes
JA-24282,2025-09-24T21:35,JA in a Day,Blackhawk MS,Bianca Brennan,bianca.brennan@foundry.com,Foundry Digital Agency,Board/Committee Prospect,4,3,3,No,The materials were clear.,Classroom management was a struggle and I did not feel supported.,,No
JA-24283,2026-04-27T15:01,JA BizTown,Jefferson MS,Hana Ulrich,hana.ulrich@summit.com,Summit Financial Group,Event Volunteer,3,3,5,Maybe,The materials were clear.,,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24284,2026-04-06T20:01,JA Inspire,Shawnee MS,Alexis Fowler,alexis.fowler@cardinal.com,Cardinal Trust Bank,Event Volunteer,5,4,4,Yes,The students were engaged.,Nothing - it was well organized.,Maybe in the spring - fall is hard for me.,
JA-24285,2025-10-09T12:26,JA Company Program,Lakeside MS,Sasha Yeager,sasha.yeager@summit.com,Summit Financial Group,Site Lead,4,4,4,Maybe,The students were engaged.,I was scheduled for a grade level I wasn't prepared for.,I'd consider it if the sessions were in the afternoon.,Yes
JA-24286,2026-06-01T13:07,JA Inspire,Woodside MS,Talia Kowalski,talia.kowalski@ridgeline.com,Ridgeline Manufacturing,Classroom Volunteer,5,3,2,Maybe,Loved the hands-on parts.,Nothing - it was well organized.,The staff were amazing and the students were a joy to work with.,No
JA-24287,2025-11-20T21:30,JA in a Day,Blackhawk MS,Naomi Kowalski,naomi.kowalski@bluffton.com,Bluffton Steel Works,Site Lead,3,5,5,,Good structure.,Classroom management was a struggle and I did not feel supported.,No comment,
JA-24288,2025-10-12T19:15,JA Career Speaker Series,Northrop HS,Sasha Ikeda,sasha.ikeda@ridgeline.com,Ridgeline Manufacturing,Career Speaker,3,5,5,Yes,The materials were clear.,None,No comment,Yes
JA-24289,2026-01-01T17:14,JA BizTown,Jefferson MS,Jordan Nunez,jordan.nunez@maplewood.com,Maplewood Health Partners,Classroom Volunteer,5,3,5,Maybe,Loved the hands-on parts.,None,n/a,
JA-24290,2026-01-04T12:04,JA BizTown,Wayne HS,Erin Ellsworth,erin.ellsworth@allen.com,Allen Mutual Insurance,Classroom Volunteer,4,4,2,,,Too much content for the time allotted. Felt rushed the whole time.,Really well run. Thank you for everything you do.,Yes
JA-24291,2026-02-14T19:44,JA Company Program,Lakeside MS,Dana Alvarez,dana.alvarez@summit.com,Summit Financial Group,Career Speaker,5,5,3,Maybe,Good structure.,I never received the training link. Had to wing it.,Very impressed with the organization and the materials.,Yes
JA-24292,2026-03-21T10:27,JA Career Speaker Series,Lakeside MS,Devon Yeager,devon.yeager@harrison.com,Harrison & Locke LLP,Classroom Volunteer,3,5,2,Yes,,I never received the training link. Had to wing it.,-,Yes
JA-24293,2026-05-23T07:55,JA Finance Park,Wayne HS,Simone Jarrett,simone.jarrett@summit.com,Summit Financial Group,Site Lead,4,5,5,Maybe,The students were engaged.,Classroom management was a struggle and I did not feel supported.,Would think about it if there were a shorter commitment option.,Yes
JA-24294,2025-09-04T12:48,JA Career Speaker Series,Wayne HS,Grant Reyes,grant.reyes@three.com,Three Rivers Credit Union,Board/Committee Prospect,5,3,5,Maybe,The materials were clear.,Fine.,Would think about it if there were a shorter commitment option.,No
JA-24295,2025-10-05T08:18,JA BizTown,Snider HS,Bianca Jarrett,bianca.jarrett@northgate.com,Northgate Logistics,Classroom Volunteer,5,5,5,Yes,Staff support was excellent.,It would help to pair new volunteers with experienced ones - I'd gladly mentor someone next year.,What a great day. The students asked wonderful questions.,Yes
JA-24296,2026-04-03T21:05,JA in a Day,Carroll MS,Priya Finnegan,priya.finnegan@kestrel.com,Kestrel Engineering,Site Lead,3,4,5,Yes,Staff support was excellent.,Fine.,Loved it. The curriculum was excellent and easy to follow.,No
JA-24297,2026-06-14T12:25,JA Finance Park,Northrop HS,Mei Boone,mei.boone@harrison.com,Harrison & Locke LLP,Event Volunteer,5,5,4,Yes,The students were engaged.,Nothing to add,This was such a rewarding experience. The students were wonderful.,
JA-24298,2025-12-29T13:51,JA Inspire,Lakeside MS,Wes Thibodeaux,wes.thibodeaux@summit.com,Summit Financial Group,Board/Committee Prospect,5,4,4,Maybe,,Nothing - it was well organized.,n/a,Yes
JA-24299,2026-03-22T07:13,JA BizTown,Homestead HS,Tomas Fowler,tomas.fowler@ridgeline.com,Ridgeline Manufacturing,Site Lead,5,4,3,Maybe,The students were engaged.,I was scheduled for a grade level I wasn't prepared for.,Nothing to add,Yes
JA-24300,2026-04-30T08:51,JA Career Speaker Series,Lakeside MS,Wes Ashby,wes.ashby@kestrel.com,Kestrel Engineering,Classroom Volunteer,4,3,5,Maybe,The students were engaged.,Too much content for the time allotted. Felt rushed the whole time.,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24301,2026-04-22T09:47,JA Company Program,Lakeside MS,Hana Devries,hana.devries@three.com,Three Rivers Credit Union,Classroom Volunteer,5,3,5,Yes,The students were engaged.,-,Good,
JA-24302,2025-10-18T18:08,JA BizTown,Carroll MS,Brett Ikeda,brett.ikeda@cardinal.com,Cardinal Trust Bank,Event Volunteer,5,5,4,Maybe,Staff support was excellent.,Nothing - it was well organized.,I'd consider it if the sessions were in the afternoon.,
JA-24303,2025-09-26T20:08,JA BizTown,Northrop HS,Talia Boone,talia.boone@harrison.com,Harrison & Locke LLP,Career Speaker,5,4,4,Yes,The students were engaged.,Parking was a nightmare and no one met me at the door.,No comment,Yes
JA-24304,2025-09-13T17:51,JA Company Program,Blackhawk MS,Casey Gutierrez,casey.gutierrez@wabash.com,Wabash Valley Energy,Board/Committee Prospect,1,2,3,No,Good structure.,N/A,The materials arrived late and I had to improvise the first hour.,Yes
JA-24305,2026-03-20T20:41,JA Company Program,Woodside MS,Bianca Whitfield,bianca.whitfield@wabash.com,Wabash Valley Energy,Event Volunteer,3,4,4,Yes,The materials were clear.,Good,Wonderful. Thank you for the opportunity.,Yes
JA-24306,2025-11-16T08:01,JA Inspire,Wayne HS,Brett Brennan,brett.brennan@northgate.com,Northgate Logistics,Classroom Volunteer,4,5,4,Yes,The students were engaged.,Classroom management was a struggle and I did not feel supported.,Please put me on the list for next year - same school if possible.,Yes
JA-24307,2026-06-19T12:53,JA Career Speaker Series,Homestead HS,Pierre Gutierrez,pierre.gutierrez@northgate.com,Northgate Logistics,Career Speaker,5,5,4,Yes,,It would help to pair new volunteers with experienced ones - I'd gladly mentor someone next year.,,Yes
JA-24308,2026-06-18T17:16,JA Company Program,Memorial Park MS,Casey Okafor,casey.okafor@cardinal.com,Cardinal Trust Bank,Event Volunteer,3,3,2,Maybe,Staff support was excellent.,,Very impressed with the organization and the materials.,Yes
JA-24309,2026-03-11T18:11,JA in a Day,Northrop HS,Alexis Reyes,alexis.reyes@cardinal.com,Cardinal Trust Bank,Site Lead,4,5,5,Maybe,Loved the hands-on parts.,-,"Great program, great kids, great day all around.",
JA-24310,2026-04-09T21:18,JA Inspire,Northrop HS,Talia Ashby,talia.ashby@allen.com,Allen Mutual Insurance,Board/Committee Prospect,5,3,4,Maybe,Good structure.,,"If you're ever short someone last minute, I might be able to fill in.",Yes
JA-24311,2025-12-12T14:09,JA Career Speaker Series,Jefferson MS,Casey Reyes,casey.reyes@summit.com,Summit Financial Group,Site Lead,4,5,5,,The materials were clear.,Parking was a nightmare and no one met me at the door.,"Possibly next year, depending on my travel schedule.",No
JA-24312,2026-01-11T18:40,JA Career Speaker Series,Snider HS,Casey Kowalski,casey.kowalski@three.com,Three Rivers Credit Union,Board/Committee Prospect,3,5,4,Maybe,Good structure.,n/a,,No
JA-24313,2025-10-01T15:21,JA Career Speaker Series,Homestead HS,Naomi Dupree,naomi.dupree@foundry.com,Foundry Digital Agency,Board/Committee Prospect,5,3,5,Maybe,Good structure.,Too much content for the time allotted. Felt rushed the whole time.,n/a,Yes
JA-24314,2025-11-13T08:11,JA Company Program,Leo JR/SR HS,Priya Xu,priya.xu@three.com,Three Rivers Credit Union,Career Speaker,4,3,4,,The students were engaged.,Too much content for the time allotted. Felt rushed the whole time.,Good,Yes
JA-24315,2025-11-20T09:15,JA Career Speaker Series,Leo JR/SR HS,Pierre Petrosyan,pierre.petrosyan@kestrel.com,Kestrel Engineering,Event Volunteer,5,3,5,Yes,The materials were clear.,None,Would think about it if there were a shorter commitment option.,No
JA-24316,2026-04-28T19:11,JA Career Speaker Series,Carroll MS,Priya Whitfield,priya.whitfield@cardinal.com,Cardinal Trust Bank,Site Lead,3,4,4,No,Good structure.,,No comment,Yes
JA-24317,2026-05-02T10:42,JA Career Speaker Series,Snider HS,Dana Jarrett,dana.jarrett@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,3,2,,The students were engaged.,Fine.,The staff were amazing and the students were a joy to work with.,Yes
JA-24318,2026-05-15T13:43,JA Inspire,Snider HS,Aisha Hollis,aisha.hollis@foundry.com,Foundry Digital Agency,Board/Committee Prospect,5,5,5,Yes,The materials were clear.,"Send the deck earlier. Also, my firm would consider underwriting a school.",Nothing to add,
JA-24319,2026-06-25T07:32,JA Finance Park,Snider HS,Colin Ulrich,colin.ulrich@wabash.com,Wabash Valley Energy,Board/Committee Prospect,4,5,4,Yes,Staff support was excellent.,It would help to pair new volunteers with experienced ones - I'd gladly mentor someone next year.,,
JA-24320,2025-10-10T10:42,JA BizTown,Homestead HS,Wes Hollis,wes.hollis@cardinal.com,Cardinal Trust Bank,Career Speaker,4,5,3,Yes,Good structure.,Shorter sessions - I'd sign up for more of them if they were 45 minutes.,None,Yes
JA-24321,2025-10-01T21:40,JA Finance Park,Memorial Park MS,Devon Devries,devon.devries@harrison.com,Harrison & Locke LLP,Board/Committee Prospect,4,5,5,Yes,Staff support was excellent.,Classroom management was a struggle and I did not feel supported.,Really well run. Thank you for everything you do.,Yes
JA-24322,2026-02-23T19:55,JA in a Day,Memorial Park MS,Grant Dupree,grant.dupree@three.com,Three Rivers Credit Union,Classroom Volunteer,2,1,2,,Staff support was excellent.,More time with the students.,The materials arrived late and I had to improvise the first hour.,Yes
JA-24323,2026-05-29T20:37,JA Career Speaker Series,Leo JR/SR HS,Simone Okafor,simone.okafor@bluffton.com,Bluffton Steel Works,Event Volunteer,3,3,2,Yes,Loved the hands-on parts.,More time with the students.,"Great program, great kids, great day all around.",
JA-24324,2026-06-22T18:27,JA Finance Park,Snider HS,Marcus Boone,marcus.boone@three.com,Three Rivers Credit Union,Classroom Volunteer,4,4,5,Maybe,,Good,"Possibly next year, depending on my travel schedule.",
JA-24325,2025-10-09T10:29,JA Inspire,Snider HS,Andre Fowler,andre.fowler@northgate.com,Northgate Logistics,Classroom Volunteer,3,4,5,No,Staff support was excellent.,Parking was a nightmare and no one met me at the door.,Wonderful. Thank you for the opportunity.,Yes
JA-24326,2026-02-28T07:45,JA Career Speaker Series,Wayne HS,Hana Brennan,hana.brennan@three.com,Three Rivers Credit Union,Board/Committee Prospect,5,5,3,Yes,The materials were clear.,"Send the deck earlier. Also, my firm would consider underwriting a school.",Good program.,Yes
JA-24327,2025-09-23T20:55,JA Company Program,Lakeside MS,Miles Marsh,miles.marsh@kestrel.com,Kestrel Engineering,Classroom Volunteer,4,4,5,Yes,Staff support was excellent.,Nothing - it was well organized.,Wonderful. Thank you for the opportunity.,
JA-24328,2026-04-26T14:11,JA Finance Park,Northrop HS,Casey Devries,casey.devries@ridgeline.com,Ridgeline Manufacturing,Classroom Volunteer,5,5,4,Yes,,I was scheduled for a grade level I wasn't prepared for.,I want to sponsor a class next year. What does that cost?,Yes
JA-24329,2026-01-11T08:53,JA Career Speaker Series,Carroll MS,Greta Castellano,greta.castellano@allen.com,Allen Mutual Insurance,Board/Committee Prospect,5,4,5,Yes,,Too much content for the time allotted. Felt rushed the whole time.,Good,No
JA-24330,2026-05-11T08:11,JA BizTown,Blackhawk MS,Brett Petrosyan,brett.petrosyan@cardinal.com,Cardinal Trust Bank,Career Speaker,5,4,4,,Staff support was excellent.,Parking was a nightmare and no one met me at the door.,Good,Yes
JA-24331,2026-06-09T11:21,JA Inspire,Carroll MS,Lucia Finnegan,lucia.finnegan@bluffton.com,Bluffton Steel Works,Event Volunteer,4,3,3,Maybe,,,Very impressed with the organization and the materials.,
JA-24332,2026-03-23T08:11,JA BizTown,Woodside MS,Casey Zabel,casey.zabel@allen.com,Allen Mutual Insurance,Board/Committee Prospect,3,3,4,Yes,Loved the hands-on parts.,None,Best volunteer experience I've had in years.,Yes
JA-24333,2025-12-15T20:42,JA Finance Park,Snider HS,Simone Escobar,simone.escobar@allen.com,Allen Mutual Insurance,Site Lead,3,5,4,Yes,The materials were clear.,N/A,The staff were amazing and the students were a joy to work with.,Yes
JA-24334,2025-09-26T15:19,JA in a Day,Blackhawk MS,Miles Ellsworth,miles.ellsworth@cardinal.com,Cardinal Trust Bank,Classroom Volunteer,3,2,2,Maybe,Good structure.,-,Classroom management was a struggle and I did not feel supported.,
JA-24335,2026-02-21T13:39,JA Inspire,Homestead HS,Ibrahim Devries,ibrahim.devries@maplewood.com,Maplewood Health Partners,Site Lead,4,3,3,Maybe,The materials were clear.,Too much content for the time allotted. Felt rushed the whole time.,Would think about it if there were a shorter commitment option.,No
JA-24336,2026-04-08T19:04,JA BizTown,Snider HS,Grant Okafor,grant.okafor@ridgeline.com,Ridgeline Manufacturing,Board/Committee Prospect,4,5,4,Maybe,,,"If you're ever short someone last minute, I might be able to fill in.",
JA-24337,2025-11-28T13:26,JA Career Speaker Series,Blackhawk MS,Hana Ikeda,hana.ikeda@bluffton.com,Bluffton Steel Works,Event Volunteer,5,5,4,Yes,The materials were clear.,It would help to pair new volunteers with experienced ones - I'd gladly mentor someone next year.,The staff were amazing and the students were a joy to work with.,No
JA-24338,2026-04-01T11:00,JA in a Day,Northrop HS,Sasha Lindqvist,sasha.lindqvist@kestrel.com,Kestrel Engineering,Site Lead,4,3,3,Yes,The students were engaged.,,The staff were amazing and the students were a joy to work with.,
JA-24339,2025-12-06T20:27,JA BizTown,Leo JR/SR HS,Reggie Chandra,reggie.chandra@ridgeline.com,Ridgeline Manufacturing,Board/Committee Prospect,3,4,3,Maybe,,I never received the training link. Had to wing it.,,Yes
JA-24340,2026-02-01T18:03,JA Inspire,Jefferson MS,Devon Boone,devon.boone@three.com,Three Rivers Credit Union,Career Speaker,4,3,2,Yes,Staff support was excellent.,I never received the training link. Had to wing it.,Fantastic program. The kids were so engaged the entire time.,Yes
JA-24341,2026-02-19T08:19,JA Career Speaker Series,Northrop HS,Priya Yeager,priya.yeager@foundry.com,Foundry Digital Agency,Site Lead,5,5,4,Maybe,The students were engaged.,I never received the training link. Had to wing it.,I'd consider it if the sessions were in the afternoon.,Yes
JA-24342,2026-03-14T12:54,JA Inspire,Jefferson MS,Priya Jarrett,priya.jarrett@cardinal.com,Cardinal Trust Bank,Career Speaker,3,3,3,Maybe,The materials were clear.,,None,No
JA-24343,2026-05-29T16:33,JA Career Speaker Series,Leo JR/SR HS,Jordan Yeager,jordan.yeager@harrison.com,Harrison & Locke LLP,Site Lead,5,5,5,,Good structure.,,I'd be interested in learning more about serving on a committee. Who should I talk to?,
JA-24344,2025-10-11T21:43,JA Career Speaker Series,Woodside MS,Talia Okafor,talia.okafor@maplewood.com,Maplewood Health Partners,Event Volunteer,3,3,3,,Loved the hands-on parts.,N/A,Reach out in a few months and I might have more capacity then.,Yes
JA-24345,2026-01-31T08:08,JA BizTown,Homestead HS,Priya Gutierrez,priya.gutierrez@wabash.com,Wabash Valley Energy,Board/Committee Prospect,3,3,2,Yes,The students were engaged.,Nothing to add,Wonderful. Thank you for the opportunity.,
JA-24346,2025-10-17T19:20,JA Career Speaker Series,Wayne HS,Miles Chandra,miles.chandra@foundry.com,Foundry Digital Agency,Event Volunteer,4,3,3,Maybe,The students were engaged.,The materials arrived late and I had to improvise the first hour.,n/a,
